month,trades,net_pnl,wins,wr,cum_pnl
2024-07,15,-313.1,4,26.666666666666668,-313.1
2024-08,44,-172.06000000000012,15,34.090909090909086,-485.16000000000014
2024-09,45,1368.6999999999998,15,33.33333333333333,883.5399999999997
2024-10,47,-680.28,14,29.78723404255319,203.25999999999976
2024-11,35,154.59999999999994,12,34.285714285714285,357.8599999999997
2024-12,19,807.44,7,36.84210526315789,1165.2999999999997
2025-01,37,-13.38000000000011,12,32.432432432432435,1151.9199999999996
2025-02,40,768.9000000000001,13,32.5,1920.8199999999997
2025-03,44,-11.060000000000105,15,34.090909090909086,1909.7599999999995
2025-04,41,3356.66,14,34.146341463414636,5266.419999999999
2025-05,40,108.89999999999992,13,32.5,5375.319999999999
2025-06,39,-730.8599999999999,9,23.076923076923077,4644.459999999999
2025-07,19,-490.56,4,21.052631578947366,4153.899999999999
2025-08,38,-90.62000000000015,10,26.31578947368421,4063.2799999999984
2025-09,41,558.66,17,41.46341463414634,4621.939999999999
2025-10,46,746.9599999999998,18,39.130434782608695,5368.899999999999
2025-11,38,88.37999999999988,12,31.57894736842105,5457.279999999999
2025-12,14,-577.86,5,35.714285714285715,4879.419999999999
2026-01,37,-610.38,13,35.13513513513514,4269.039999999999
2026-02,31,38.059999999999924,10,32.25806451612903,4307.0999999999985
2026-03,42,-179.08000000000015,12,28.57142857142857,4128.019999999999
2026-04,45,1563.7,24,53.333333333333336,5691.719999999998
2026-05,43,866.68,19,44.18604651162791,6558.399999999999
2026-06,41,1842.6599999999999,15,36.58536585365854,8401.059999999998
2026-07,2,-261.48,0,0.0,8139.579999999998
